NAME	elevation	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	"fast = neg %, slow = pos %"																
ALABAMA	500	100.0	9.4	-0.2	100.0	5.9	-0.9	-0.3	-7.1	-4.2	-3.3	-2.0	-1.0	-1.3	0.1	0.4	0.8	0.9	1107.947202	1124.204098	1129.015778	1131.101956	1143.945378	1138.017603	1143.092192	1133.859888	1118.603867	1119.092364	1111.777282	1107.832558	1105.200577	1104.556684	1105.123458	1101.637753	1105.522247
ALASKA	1900	100.0	100.0	100.0	100.0	100.0	100.0	100.0	2.0	1.1	-3.2	-10.9	-10.3	-10.5	-11.9	-13.1	-12.1	-10.1																	
ARIZONA	4100	100.0	100.0	15.8	100.0	19.4	-16.3	-5.7	-5.0	0.6	3.3	3.0	2.2	3.2	3.0	3.8	3.9	4.1		1018.65	1131.085714		1076.857143	1147.9375	1146.496162	1214.369528	1165.9987	1156.3068	1134.3388	1118.5234	1120.0963	1103.606993	1101.1311	1092.9717	1096.1163
ARKANSAS	650	-13.3	-8.3	-10.6	-9.3	-11.7	-11.0	-9.4	-7.5	-9.6	-14.1	-10.8	-13.8	-10.5	-11.8	-8.7	-5.1	-3.9								1111.164607	1106.513736	1154.523188	1233.406351	1222.280611	1221.34891	1236.518333	1249.85636	1235.37463	1217.4973
CALIFORNIA	2900	6.5	5.5	7.3	7.6	8.4	7.6	8.6	7.8	10.2	11.2	11.3	11.2	10.7	10.7	11.5	11.2	11.8			950.125		922	1323.821587	1208.05303	1190.8046	1112.0529	1082.065934	1078.4731	1082.9638	1069.9307	1071.27952	1063.607792	1058.255245	1060.624476
COLORADO	6800	-0.4	0.0	3.0	100.0	3.9	3.8	0.6	-4.9	3.4	4.3	3.8	4.4	5.4	4.9	5.0	4.6	5.5	1254.994676	1217.329314	1248.544928	1236.153846	1277.70493	1263.538983	1250.088113	1219.377285	1225.436445	1276.9866	1231.946623	1260.308277	1220.8081	1234.3481	1201.3111	1157.8514	1148.9339
CONNECTICUT	500	4.0	5.0	5.2	4.6	6.5	7.6	6.9	7.2	3.7	-2.7	0.9	-3.6	-2.7	0.0	-0.1	0.2	0.2	1036.030266	1062.879592	1047.097346	1044.676083	1048.108	1051.267109	1044.317653	1045.81268	1004.857895	993.4587824	985.7795613	983.485	987.0392216	986.5087737	977.5667	978.3672328	975.2608392
DELAWARE	60	-6.4	-8.7	-13.8	-9.6	-8.0	-8.8	-8.0	-6.7	-13.2	-14.0	-14.2	-15.5	-14.6	-13.5	-17.1	-14.5	-16.0	1112.527158	1124.316701	1094.87167		1099.100644	1094.477543	1136.647433	1189.179405	1080.171628	1070.657585	1069.084951	1059.441077	1045.2896	1050.5027	1049.4019	1051.2997	1044.6392
DISTRICT_OF_COLUMBIA	150	100.0	15.9	100.0	100.0	100.0	100.0	100.0	100.0	-12.8	-16.6	-15.6	-17.4	-16.2	-15.9	-19.2	-19.5	-21.9	1063.355556	1067.646341	1070.436413	1079.233766	1069.508197	1051.57672	1064.124457	1052.053763	1076.851479	1149.488	1101.3447	1147.8158	1134.5978	1104.7296	1105.691964	1099.659285	1103.441816
FLORIDA	100	16.1	100.0	6.2	-6.7	-5.1	-0.8	-5.0	3.7	7.0	7.6	7.6	7.2	6.7	6.9	6.8	5.2	5.8	1178.413684	1221.587436	1284.553077	1239.280375	1235.85974	1238.721284	1234.457971	1209.447179	1266.654766	1275.851114	1270.137754	1279.489812	1266.039286	1253.696005	1294.489508	1261.641238	1282.850364
