NAME	elevation	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
ALABAMA	500	100.0	9.4	-0.2	100.0	5.9	-0.9	-0.3	-7.1	-4.2	-3.3	-2.0	-1.0	-1.3	0.1	0.4	0.8	0.9
ALASKA	1900	100.0	100.0	100.0	100.0	100.0	100.0	100.0	2.0	1.1	-3.2	-10.9	-10.3	-10.5	-11.9	-13.1	-12.1	-10.1
ARIZONA	4100	100.0	100.0	15.8	100.0	19.4	-16.3	-5.7	-5.0	0.6	3.3	3.0	2.2	3.2	3.0	3.8	3.9	4.1
ARKANSAS	650	-13.3	-8.3	-10.6	-9.3	-11.7	-11.0	-9.4	-7.5	-9.6	-14.1	-10.8	-13.8	-10.5	-11.8	-8.7	-5.1	-3.9
CALIFORNIA	2900	6.5	5.5	7.3	7.6	8.4	7.6	8.6	7.8	10.2	11.2	11.3	11.2	10.7	10.7	11.5	11.2	11.8
COLORADO	6800	-0.4	0.0	3.0	100.0	3.9	3.8	0.6	-4.9	3.4	4.3	3.8	4.4	5.4	4.9	5.0	4.6	5.5
CONNECTICUT	500	4.0	5.0	5.2	4.6	6.5	7.6	6.9	7.2	3.7	-2.7	0.9	-3.6	-2.7	0.0	-0.1	0.2	0.2
DELAWARE	60	-6.4	-8.7	-13.8	-9.6	-8.0	-8.8	-8.0	-6.7	-13.2	-14.0	-14.2	-15.5	-14.6	-13.5	-17.1	-14.5	-16.0
DISTRICT_OF_COLUMBIA	150	100.0	15.9	100.0	100.0	100.0	100.0	100.0	100.0	-12.8	-16.6	-15.6	-17.4	-16.2	-15.9	-19.2	-19.5	-21.9
FLORIDA	100	16.1	100.0	6.2	-6.7	-5.1	-0.8	-5.0	3.7	7.0	7.6	7.6	7.2	6.7	6.9	6.8	5.2	5.8
GEORGIA	600	17.2	100.0	2.3	100.0	-2.6	-1.0	18.2	2.3	4.9	5.5	6.0	6.0	6.1	6.3	6.1	5.1	5.9
HAWAII	3030	100.0	100.0	100.0	-4.9	100.0	4.0	-0.9	-2.6	-23.1	4.9	-0.1	-0.6	4.7	0.7	-2.7	-14.6	-23.0
IDAHO	5000	100.0	-4.5	1.1	-0.4	-3.9	0.9	1.1	1.6	1.1	-3.0	-3.9	-1.1	-1.3	-7.1	-0.3	-0.9	0.7
ILLINOIS	600	17.1	16.1	18.3	19.2	13.1	14.8	4.3	9.3	-6.2	-2.4	0.1	5.8	5.3	4.8	5.5	5.0	5.7
INDIANA	700	7.3	8.4	9.3	6.8	7.6	9.6	6.9	7.3	-0.4	7.6	8.0	7.7	7.6	7.5	7.6	8.3	8.0
IOWA	1100	4.7	100.0	6.6	7.9	4.8	3.3	6.4	6.6	4.6	1.9	5.6	6.1	6.4	6.0	5.4	5.9	5.7
